lead_id,original_message,service_type,issue_summary,urgency,customer_intent,timing_need,missing_info,lead_quality,priority_score,priority_level,routing_decision,routing_reason
L0002,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0006,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0022,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0052,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0056,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0072,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0102,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0106,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0122,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0152,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0156,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0172,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0202,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0206,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0222,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0252,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0256,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0272,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0302,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0306,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0322,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0352,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0356,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0372,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0402,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0406,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0422,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0452,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help as soon as possible.,Plumbing,Water is leaking from the ceiling under the upstairs bathroom. Need emergency plumbing help...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0456,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plumber now?,Plumbing,My toilet is overflowing and I shut off the water but it is still a mess. Can you send a plu...,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0472,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,HVAC,Gas smell near the furnace. We turned it off and left the house. Need immediate help.,Emergency,Request service,Immediate,None,High,100,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0003,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0053,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0103,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0153,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0203,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0253,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0303,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0353,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0403,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0453,Several outlets in the kitchen are sparking when we plug things in. Please call back immediately.,Electrical,Several outlets in the kitchen are sparking when we plug things in. Please call back immedia...,Emergency,Request service,Immediate,None,High,99,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0015,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0048,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0065,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0098,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0115,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0148,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0165,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0198,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0215,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0248,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0265,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0298,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0315,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0348,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0365,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0398,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0415,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0448,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0465,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,HVAC,No heat in the house and my elderly mother lives with me. Please call as soon as possible.,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0498,Water heater is leaking around the base. Can someone come as soon as possible?,Plumbing,Water heater is leaking around the base. Can someone come as soon as possible?,High,Request service,Immediate,None,High,93,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
